method,block_id,day,start_min,block_len,section_id,n_jobs,n_depts,modelled_reliability,observed_ontime_with_penalty,observed_reliability_with_penalty,mean_overrun_min_with_penalty,observed_ontime_without_penalty,observed_reliability_without_penalty,mean_overrun_min_without_penalty
B1 Dept-wise + reliability,C3018,3,690,240,MGSJ-SA-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C672,0,600,150,KEY-KNNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C693,1,600,150,KEY-KNNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C159,0,630,240,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C252,1,630,150,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C381,2,630,240,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C45,3,630,240,JTJ-TPT-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C762,0,600,150,KEY-KNNT-DN,3,3,0.93,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1647,0,630,150,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1773,0,630,150,DPI-MAP-DN,3,3,0.92,28,0.93,7.0,30,1.0,0.0
B1 Dept-wise + reliability,C882,0,600,150,KNNT-SLY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C609,2,600,240,KEY-KNNT-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C3435,3,480,240,DC-MVPM-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1191,0,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1278,1,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1437,2,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1590,3,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C837,1,600,150,KNNT-SLY-DN,3,3,0.92,28,0.93,9.9,29,0.97,5.6
B1 Dept-wise + reliability,C1113,4,630,150,SLY-DST-DN,3,3,0.91,28,0.93,2.3,30,1.0,0.0
B1 Dept-wise + reliability,C1965,0,570,240,BDY-BQI-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2892,0,540,240,MGSJ-SA-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C810,2,540,240,KNNT-SLY-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C81,1,360,150,MOLK-KEY-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C231,3,600,150,SLY-DST-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C288,0,600,150,DST-DPI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C465,1,570,150,DPI-MAP-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C717,1,570,150,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C768,0,630,150,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C855,1,630,150,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C942,2,570,150,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C984,2,540,150,BQI-LCR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1050,0,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1137,1,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1224,2,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1263,1,540,150,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1308,2,540,150,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1470,0,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1551,1,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1938,0,510,150,NEA-VRPD-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2022,0,0,150,VRPD-DVBH-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2100,4,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2187,5,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2262,4,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2283,1,480,150,SGE-ANU-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2310,2,480,150,SGE-ANU-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2364,0,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2535,0,540,240,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2565,1,540,150,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2694,2,540,150,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2742,2,750,150,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1038,2,660,150,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1368,0,690,150,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1605,1,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1704,2,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1869,3,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2406,2,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2493,3,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C117,1,600,150,KEY-KNNT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C501,1,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C648,2,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C12,4,630,150,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C351,1,630,150,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C384,2,630,150,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C159,3,600,150,KNNT-SLY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1389,1,540,150,MGSJ-SA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C6,0,0,150,TPT-MOLK-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C33,1,0,150,TPT-MOLK-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C78,2,360,150,MOLK-KEY-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C243,1,600,150,DST-DPI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C258,2,570,150,DPI-MAP-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C522,2,570,150,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C579,3,570,150,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C618,2,630,150,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C669,3,540,150,BQI-LCR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C702,2,660,150,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C723,3,660,150,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C813,3,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C873,1,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C948,2,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1107,3,540,150,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1191,3,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1266,2,690,150,TNT-KPPR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1458,2,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1521,3,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1602,4,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1737,5,510,150,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1917,1,510,240,NEA-VRPD-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1959,3,360,150,DVBH-DC-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1989,1,0,240,DVBH-DC-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2016,6,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2091,7,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2142,8,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2217,5,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2280,6,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2349,1,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2460,2,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2595,3,720,150,SGE-ANU-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2652,2,480,150,ANU-CV-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C849,3,660,150,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1305,1,690,240,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1314,2,690,150,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1818,4,690,150,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C2700,4,720,150,ANU-CV-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C309,3,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C456,4,630,150,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C183,5,630,150,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C158,0,1260,150,KEY-KNNT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B1 Dept-wise + reliability,C1392,2,540,150,MGSJ-SA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-JTJ-TPT-UP-0,0,630,240,JTJ-TPT-UP,4,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-JTJ-TPT-DN-0,0,600,240,JTJ-TPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-TPT-MOLK-UP-0,0,0,240,TPT-MOLK-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MOLK-KEY-UP-0,0,360,240,MOLK-KEY-UP,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MOLK-KEY-DN-0,0,30,240,MOLK-KEY-DN,4,3,0.99,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KEY-KNNT-UP-0,0,600,240,KEY-KNNT-UP,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KEY-KNNT-DN-0,0,600,240,KEY-KNNT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KNNT-SLY-DN-0,0,540,240,KNNT-SLY-DN,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SLY-DST-UP-0,0,600,240,SLY-DST-UP,3,2,0.99,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SLY-DST-DN-0,0,540,240,SLY-DST-DN,3,1,1.0,29,0.97,29.1,29,0.97,29.1
B2 Fixed-calendar,B2-DST-DPI-UP-0,0,600,240,DST-DPI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DST-DPI-DN-0,0,540,240,DST-DPI-DN,3,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DPI-MAP-UP-0,0,570,240,DPI-MAP-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DPI-MAP-DN-0,0,630,240,DPI-MAP-DN,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MAP-TNGR-UP-0,0,570,240,MAP-TNGR-UP,5,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MAP-TNGR-DN-0,0,630,240,MAP-TNGR-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BDY-BQI-UP-0,0,570,240,BDY-BQI-UP,2,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BDY-BQI-DN-0,0,570,240,BDY-BQI-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BQI-LCR-UP-0,0,540,240,BQI-LCR-UP,5,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BQI-LCR-DN-0,0,660,240,BQI-LCR-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-LCR-DSPT-UP-0,0,540,240,LCR-DSPT-UP,4,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-LCR-DSPT-DN-0,0,660,240,LCR-DSPT-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DSPT-TNT-UP-0,0,540,240,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-TNT-KPPR-UP-0,0,540,240,TNT-KPPR-UP,2,2,0.73,25,0.83,38.7,25,0.83,32.7
B2 Fixed-calendar,B2-TNT-KPPR-DN-0,0,690,240,TNT-KPPR-DN,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KPPR-MGSJ-UP-0,0,540,240,KPPR-MGSJ-UP,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KPPR-MGSJ-DN-0,0,690,240,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MGSJ-SA-UP-0,0,540,240,MGSJ-SA-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MGSJ-SA-DN-0,0,690,240,MGSJ-SA-DN,6,3,0.87,27,0.9,12.1,29,0.97,13.1
B2 Fixed-calendar,B2-SA-NEA-UP-0,0,510,240,SA-NEA-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SA-NEA-DN-0,0,690,240,SA-NEA-DN,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-NEA-VRPD-UP-0,0,510,240,NEA-VRPD-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-NEA-VRPD-DN-0,0,690,240,NEA-VRPD-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-VRPD-DVBH-DN-0,0,0,240,VRPD-DVBH-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DVBH-DC-UP-0,0,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DVBH-DC-DN-0,0,0,240,DVBH-DC-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DC-MVPM-UP-0,0,480,240,DC-MVPM-UP,6,3,0.99,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DC-MVPM-DN-0,0,720,240,DC-MVPM-DN,6,3,0.99,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MVPM-SGE-UP-0,0,480,240,MVPM-SGE-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MVPM-SGE-DN-0,0,720,240,MVPM-SGE-DN,3,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SGE-ANU-UP-0,0,480,240,SGE-ANU-UP,3,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SGE-ANU-DN-0,0,720,240,SGE-ANU-DN,2,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-ANU-CV-UP-0,0,480,240,ANU-CV-UP,4,3,0.99,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-ANU-CV-DN-0,0,660,240,ANU-CV-DN,5,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-CV-ED-UP-0,0,540,240,CV-ED-UP,2,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-CV-ED-DN-0,0,690,240,CV-ED-DN,3,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-JTJ-TPT-UP-1,1,630,240,JTJ-TPT-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-TPT-MOLK-UP-1,1,0,240,TPT-MOLK-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MOLK-KEY-UP-1,1,360,240,MOLK-KEY-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KEY-KNNT-UP-1,1,600,240,KEY-KNNT-UP,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KEY-KNNT-DN-1,1,600,240,KEY-KNNT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KNNT-SLY-DN-1,1,540,240,KNNT-SLY-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SLY-DST-UP-1,1,600,240,SLY-DST-UP,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SLY-DST-DN-1,1,540,240,SLY-DST-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DST-DPI-UP-1,1,600,240,DST-DPI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DST-DPI-DN-1,1,540,240,DST-DPI-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DPI-MAP-DN-1,1,630,240,DPI-MAP-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MAP-TNGR-UP-1,1,570,240,MAP-TNGR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MAP-TNGR-DN-1,1,630,240,MAP-TNGR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BDY-BQI-UP-1,1,570,240,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BQI-LCR-UP-1,1,540,240,BQI-LCR-UP,4,3,0.99,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BQI-LCR-DN-1,1,660,240,BQI-LCR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-LCR-DSPT-UP-1,1,540,240,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-LCR-DSPT-DN-1,1,660,240,LCR-DSPT-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DSPT-TNT-UP-1,1,540,240,DSPT-TNT-UP,2,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-TNT-KPPR-UP-1,1,540,240,TNT-KPPR-UP,3,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-TNT-KPPR-DN-1,1,690,240,TNT-KPPR-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KPPR-MGSJ-UP-1,1,540,240,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KPPR-MGSJ-DN-1,1,690,240,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MGSJ-SA-UP-1,1,540,240,MGSJ-SA-UP,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MGSJ-SA-DN-1,1,690,240,MGSJ-SA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SA-NEA-UP-1,1,510,240,SA-NEA-UP,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SA-NEA-DN-1,1,690,240,SA-NEA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-NEA-VRPD-UP-1,1,510,240,NEA-VRPD-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DVBH-DC-UP-1,1,360,240,DVBH-DC-UP,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DVBH-DC-DN-1,1,0,240,DVBH-DC-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DC-MVPM-UP-1,1,480,240,DC-MVPM-UP,3,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DC-MVPM-DN-1,1,720,240,DC-MVPM-DN,4,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MVPM-SGE-DN-1,1,720,240,MVPM-SGE-DN,5,3,0.97,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SGE-ANU-DN-1,1,720,240,SGE-ANU-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-ANU-CV-UP-1,1,480,240,ANU-CV-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-CV-ED-UP-1,1,540,240,CV-ED-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-CV-ED-DN-1,1,690,240,CV-ED-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-JTJ-TPT-UP-2,2,630,240,JTJ-TPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KEY-KNNT-DN-2,2,600,240,KEY-KNNT-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KNNT-SLY-DN-2,2,540,240,KNNT-SLY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SLY-DST-DN-2,2,540,240,SLY-DST-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DPI-MAP-DN-2,2,630,240,DPI-MAP-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-BQI-LCR-DN-2,2,660,240,BQI-LCR-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-LCR-DSPT-DN-2,2,660,240,LCR-DSPT-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DSPT-TNT-UP-2,2,540,240,DSPT-TNT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-TNT-KPPR-UP-2,2,540,240,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-KPPR-MGSJ-DN-2,2,690,240,KPPR-MGSJ-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-MGSJ-SA-DN-2,2,690,240,MGSJ-SA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-SA-NEA-UP-2,2,510,240,SA-NEA-UP,2,1,1.0,30,1.0,0.0,30,1.0,0.0
B2 Fixed-calendar,B2-DVBH-DC-UP-2,2,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
